,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
0,2013,SteglitzZehlendorf,60408,ZehlendorfNord,27,11,219,44,118,2207,88,684,226,292,17,2,404,139,46,610
1,2019,Lichtenberg,110103,NeuHohenschnhausenSd,20,15,327,79,90,855,64,148,91,22,21,5,257,18,26,706
2,2019,CharlottenburgWilmersdorf,40304,SchloCharlottenburg,26,9,238,42,124,903,16,97,174,32,11,5,271,77,54,579
3,2015,Reinickendorf,122141,West1TegelSdFlughafensee,9,3,195,41,103,793,26,156,33,47,8,3,120,13,206,426
4,2013,CharlottenburgWilmersdorf,40309,Kurfrstendamm,112,46,919,287,183,4299,60,369,172,106,6,1,342,75,197,1517
5,2016,Mitte,10112,Regierungsviertel,94,66,483,86,124,5797,15,242,310,54,10,3,350,111,70,904
6,2015,Lichtenberg,110513,Karlshorst,6,2,110,21,44,856,49,144,226,60,15,6,148,25,22,278
7,2018,FriedrichshainKreuzberg,20405,KarlMarxAlleeNord,17,7,197,45,77,1174,40,184,244,46,5,3,256,51,40,500
8,2013,TreptowKpenick,90103,Baumschulenweg,21,12,95,20,59,684,35,211,100,47,8,3,167,46,24,308
9,2014,Lichtenberg,110101,MalchowWartenbergundFalkenberg,1,1,15,0,11,217,4,36,9,16,5,1,43,6,4,44
10,2014,MarzahnHellersdorf,100408,Kaulsdorf,5,1,67,10,35,540,15,169,94,75,8,4,152,16,5,205
11,2014,TreptowKpenick,90312,SchmckwitzKarolinenhofRauchfangswerder,1,1,19,2,6,176,3,53,6,13,1,0,23,0,2,42
12,2013,SteglitzZehlendorf,60306,Drakestr,30,7,198,33,108,1936,85,497,222,166,17,8,289,33,49,635
13,2015,Neuklln,80104,Rixdorf,77,45,480,140,182,2558,51,344,453,199,27,13,518,79,183,1477
14,2014,TreptowKpenick,90104,Johannisthal,15,9,84,17,47,581,31,105,81,37,10,2,149,13,12,253
15,2014,MarzahnHellersdorf,100307,Biesdorf,8,5,162,23,66,1112,40,272,177,62,8,2,166,19,32,341
16,2012,FriedrichshainKreuzberg,20506,FrankfurterAlleeNord,34,16,265,83,80,1528,55,117,286,59,48,15,534,84,50,824
17,2016,TreptowKpenick,90413,KpenickSd,2,1,104,17,22,385,34,81,89,13,16,8,88,15,5,187
18,2016,FriedrichshainKreuzberg,20506,FrankfurterAlleeNord,30,12,308,84,97,2150,34,195,508,63,54,15,618,128,143,1054
19,2013,Pankow,30716,PrenzlauerBergSd,17,9,154,33,76,1633,131,256,394,87,17,6,327,70,47,686
20,2019,Lichtenberg,110512,RummelsburgerBucht,4,3,58,14,20,332,11,55,99,12,9,6,80,28,11,147
21,2012,Lichtenberg,110512,RummelsburgerBucht,4,0,18,6,7,227,4,69,48,7,16,6,67,20,2,60
22,2012,FriedrichshainKreuzberg,20508,FrankfurterAlleeSdFK,140,80,865,276,159,3588,62,291,616,166,67,22,1171,272,256,2086
23,2015,Neuklln,80105,KllnischeHeide,32,17,244,57,97,1214,49,317,58,42,19,10,410,51,55,630
24,2016,SteglitzZehlendorf,60408,ZehlendorfNord,20,14,182,45,84,2408,107,647,463,298,15,4,504,201,42,546
25,2016,Spandau,50103,SpandauMitte,78,53,697,179,236,2606,39,279,271,75,16,5,451,57,179,1374
26,2015,SteglitzZehlendorf,60102,Albrechtstr,32,21,231,47,125,1406,95,300,229,133,8,7,361,61,46,788
27,2015,Mitte,19900,BezirkMinichtzuzuordnen,82,63,189,62,62,1969,36,382,186,2,15,8,149,47,94,431
28,2016,Reinickendorf,123022,MV2Rollbergsiedlung,13,7,83,24,52,421,14,69,17,35,7,1,245,151,31,231
29,2019,Pankow,39900,BezirkPknichtzuzuordnen,1,1,11,3,1,53,1,8,10,0,1,0,8,2,13,18
30,2017,Mitte,10111,TiergartenSd,62,39,521,145,127,2603,30,325,347,50,9,2,260,42,179,1143
31,2015,Mitte,10442,WeddingZentrum,148,90,1027,308,354,3857,48,505,436,203,34,14,643,127,581,2107
32,2013,FriedrichshainKreuzberg,20101,SdlicheFriedrichstadt,125,76,693,185,243,3394,57,700,345,186,45,15,639,84,265,1703
33,2019,SteglitzZehlendorf,60306,Drakestr,20,10,269,50,133,1475,52,289,288,94,19,7,316,35,44,676
34,2014,Mitte,10442,WeddingZentrum,131,68,1052,283,351,3802,61,487,426,257,35,17,692,160,511,2342
35,2016,Neuklln,80206,Britz,55,31,471,115,191,2431,112,566,166,218,47,24,482,64,71,1285
36,2015,Lichtenberg,110307,AltLichtenberg,39,21,365,97,106,2157,72,326,267,96,25,13,383,114,38,846
37,2012,MarzahnHellersdorf,109900,BezirkMzHdnichtzuzuordnen,10,3,90,21,16,217,3,10,11,0,1,0,118,90,5,125
38,2015,CharlottenburgWilmersdorf,40202,Heerstrasse,12,7,150,39,39,861,38,249,76,110,7,1,146,39,33,311
39,2018,Pankow,30611,PrenzlauerBergNordwest,47,24,293,109,77,1468,39,109,365,39,12,4,292,113,175,648
40,2018,CharlottenburgWilmersdorf,40617,ForstGrunewald,7,4,22,3,6,32,1,7,1,0,5,5,9,2,0,36
41,2018,TreptowKpenick,90518,RahnsdorfHessenwinkel,2,0,30,6,15,261,6,52,95,24,4,3,50,9,10,62
42,2017,Mitte,10113,Alexanderplatz,143,90,1763,478,317,10596,87,705,929,148,45,16,1162,351,804,3227
43,2018,Lichtenberg,110101,MalchowWartenbergundFalkenberg,3,2,34,6,10,105,4,7,13,27,6,2,33,5,2,63
44,2016,CharlottenburgWilmersdorf,40202,Heerstrasse,9,5,146,39,32,616,26,125,68,79,6,3,136,42,23,285
45,2018,MarzahnHellersdorf,100205,HellersdorfOst,14,9,277,44,87,493,35,71,67,8,19,6,231,40,50,510
46,2016,TreptowKpenick,99900,BezirkTpKpnichtzuzuordnen,10,9,85,19,35,552,27,124,124,0,10,5,88,18,23,169
47,2012,SteglitzZehlendorf,60102,Albrechtstr,57,20,258,29,161,1581,88,347,202,136,14,8,439,111,44,832
48,2019,Spandau,50103,SpandauMitte,65,31,671,160,251,1940,47,247,167,35,28,16,529,48,266,1328
49,2016,TreptowKpenick,90519,Dammvorstadt,8,5,128,33,36,724,11,32,161,14,7,2,162,54,41,307
50,2019,CharlottenburgWilmersdorf,40516,VolksparkWilmersdorf,26,16,229,47,91,2011,39,338,417,114,19,4,308,53,96,918
51,2019,MarzahnHellersdorf,100409,Mahlsdorf,3,3,85,17,40,487,38,88,78,85,9,4,191,56,30,197
52,2013,TempelhofSchneberg,70606,Marienfelde,23,12,243,56,109,1310,35,238,78,68,22,3,225,23,50,629
53,2018,Pankow,30304,Karow,4,2,84,20,29,418,3,102,126,34,1,0,107,18,13,200
54,2016,Reinickendorf,129900,BezirkRdnichtzuzuordnen,14,10,116,29,49,1193,17,208,77,1,1,0,65,11,21,230
55,2013,Pankow,30613,Helmholtzplatz,14,4,148,38,44,1280,57,91,279,90,10,2,238,65,20,590
56,2018,CharlottenburgWilmersdorf,40309,Kurfrstendamm,62,31,760,218,154,4351,35,227,264,46,15,5,387,82,173,1618
57,2013,Reinickendorf,123022,MV2Rollbergsiedlung,14,9,85,21,39,487,6,82,26,36,6,4,116,15,14,223
58,2012,TreptowKpenick,90414,AllendeViertel,2,0,37,6,26,194,12,31,36,3,1,0,66,15,2,100
59,2014,TempelhofSchneberg,79900,BezirkThSbnichtzuzuordnen,44,35,27,0,36,640,19,167,102,0,7,1,39,0,39,155
60,2014,TempelhofSchneberg,70101,SchnebergNord,170,105,725,210,278,4601,67,492,527,261,42,12,571,106,315,1865
61,2015,MarzahnHellersdorf,109900,BezirkMzHdnichtzuzuordnen,18,12,87,35,23,207,18,54,24,1,5,2,111,20,6,181
62,2016,FriedrichshainKreuzberg,20303,nrdlicheLuisenstadt,125,78,559,234,104,3295,24,274,359,63,25,7,528,162,608,1024
63,2016,CharlottenburgWilmersdorf,40515,Barstrae,9,5,136,28,47,805,26,142,195,29,8,1,97,16,27,295
64,2015,Pankow,30612,PrenzlauerBergNord,24,8,191,40,54,2619,86,207,541,56,9,4,246,79,30,1200
65,2015,TreptowKpenick,90519,Dammvorstadt,16,9,185,48,40,773,6,51,127,15,5,3,156,29,80,388
66,2012,Pankow,30307,BlankenburgHeinersdorfMrchenland,7,1,74,9,21,898,14,160,149,55,12,4,154,9,16,161
67,2012,Spandau,50204,BrunsbttelerDamm,14,5,172,41,61,772,27,109,64,47,22,3,221,21,11,395
68,2012,Spandau,50308,Siemensstadt,29,7,168,36,63,739,30,111,84,39,8,4,167,30,25,405
69,2013,SteglitzZehlendorf,60407,ZehlendorfSdwest,21,11,161,28,77,1289,49,441,149,155,9,2,215,22,33,422
70,2015,Pankow,30304,Karow,7,4,59,13,36,428,17,112,92,38,5,1,92,16,4,142
71,2019,CharlottenburgWilmersdorf,40413,WiesbadenerStrae,7,6,82,16,30,763,38,99,191,39,7,1,138,18,20,308
72,2016,TempelhofSchneberg,70202,SchnebergSd,43,28,535,105,166,3348,79,360,769,127,27,14,484,84,178,1300
73,2018,Reinickendorf,129900,BezirkRdnichtzuzuordnen,12,10,100,21,38,736,12,136,52,1,5,2,63,2,33,213
74,2018,TreptowKpenick,90415,AltstadtKietz,2,1,120,29,30,211,7,24,59,1,3,1,98,18,21,207
75,2019,MarzahnHellersdorf,100102,MarzahnMitte,56,41,712,171,190,1719,146,325,66,22,49,17,506,65,130,1271
76,2013,TreptowKpenick,90520,KpenickNord,4,2,38,14,31,281,20,78,59,27,8,3,73,9,1,129
77,2016,FriedrichshainKreuzberg,29900,BezirkFhKbnichtzuzuordnen,81,64,130,55,46,1476,20,197,191,1,5,4,128,24,164,337
78,2016,Pankow,30715,PrenzlauerBergSdwest,25,9,327,93,89,2569,66,233,535,114,15,5,372,158,28,993
79,2017,TreptowKpenick,90206,Niederschneweide,17,8,192,38,49,1083,55,99,153,14,9,3,251,140,44,351
80,2016,Reinickendorf,122144,West4AugusteViktoriaAllee,30,15,320,85,136,1610,36,262,93,51,19,9,306,75,79,784
81,2015,Spandau,50204,BrunsbttelerDamm,15,5,159,28,76,826,37,128,67,65,15,5,180,11,10,434
82,2017,Reinickendorf,122144,West4AugusteViktoriaAllee,30,10,429,104,173,1268,22,206,77,46,21,10,246,28,104,887
83,2018,SteglitzZehlendorf,60102,Albrechtstr,24,10,250,51,132,1440,54,299,300,90,16,5,331,89,69,776
84,2013,TreptowKpenick,90207,Adlershof,20,13,118,34,57,960,32,152,204,18,10,3,158,28,13,291
85,2019,FriedrichshainKreuzberg,20407,KarlMarxAlleeSd,98,74,787,281,160,3618,36,215,334,33,20,9,480,120,770,1573
86,2013,Spandau,50206,Wilhelmstadt,43,21,478,111,217,2470,45,238,188,92,21,8,480,39,120,1248
87,2013,TreptowKpenick,99900,BezirkTpKpnichtzuzuordnen,3,1,80,25,17,275,5,29,5,1,2,2,278,221,11,106
88,2017,SteglitzZehlendorf,69900,BezirkStZdnichtzuzuordnen,4,3,53,10,35,404,9,90,92,0,19,15,66,9,22,127
89,2018,TreptowKpenick,90310,Bohnsdorf,7,4,119,16,32,437,32,60,51,36,9,3,88,13,7,207
90,2013,CharlottenburgWilmersdorf,40305,Mierendorffplatz,40,22,146,32,70,846,21,201,103,57,11,3,130,13,96,466
91,2017,MarzahnHellersdorf,100102,MarzahnMitte,39,26,696,124,195,2351,174,445,155,53,35,9,519,81,79,1574
92,2013,Neuklln,80409,BuckowNord,11,3,88,19,38,461,12,115,25,28,13,1,91,5,5,216
93,2016,CharlottenburgWilmersdorf,49900,BezirkChWinichtzuzuordnen,34,30,112,32,71,1178,53,256,88,0,6,3,116,11,32,294
94,2017,Lichtenberg,110103,NeuHohenschnhausenSd,23,15,295,69,63,979,62,160,122,25,11,4,195,42,45,599
95,2012,Reinickendorf,121032,Ost2AltReinickendorf,50,18,290,63,128,1525,37,301,215,79,22,10,324,53,149,721
96,2012,Mitte,10111,TiergartenSd,70,46,586,194,118,2263,18,328,120,68,16,4,273,26,171,1032
97,2013,Spandau,50307,Haselhorst,20,8,156,40,64,1099,30,180,59,53,11,3,238,22,25,551
98,2016,Spandau,50307,Haselhorst,21,9,174,34,63,900,37,154,68,29,18,8,123,16,30,377
99,2016,SteglitzZehlendorf,60306,Drakestr,14,8,239,49,97,1944,92,413,304,204,8,3,286,56,41,584
100,2017,Spandau,50101,Hakenfelde,15,10,190,47,75,782,18,139,102,38,8,5,130,19,35,401
101,2019,FriedrichshainKreuzberg,20304,sdlicheLuisenstadt,182,150,530,251,125,2343,37,219,440,52,44,15,519,104,1310,1316
102,2015,Mitte,10222,MoabitOst,85,45,738,192,204,4928,42,433,452,98,18,6,446,81,341,1418
103,2018,Neuklln,89900,BezirkNknichtzuzuordnen,24,23,81,34,45,632,10,144,38,2,6,2,62,8,56,199
104,2015,SteglitzZehlendorf,60306,Drakestr,18,10,200,28,97,1895,91,410,258,199,11,3,252,42,41,554
105,2018,Neuklln,80102,NeukllnerMitteZentrum,106,56,703,214,182,4453,49,526,376,67,33,16,589,62,332,1537
106,2015,CharlottenburgWilmersdorf,49900,BezirkChWinichtzuzuordnen,40,32,33,14,52,757,51,265,133,0,1,2,45,12,37,161
107,2019,SteglitzZehlendorf,60203,Lankwitz,19,9,354,60,132,1262,51,240,104,117,19,6,333,30,78,839
108,2016,CharlottenburgWilmersdorf,40305,Mierendorffplatz,26,11,136,25,77,866,23,153,84,28,8,4,194,49,38,366
109,2018,Pankow,39900,BezirkPknichtzuzuordnen,20,17,63,17,29,553,30,111,144,0,5,3,77,9,42,156
110,2015,TreptowKpenick,90312,SchmckwitzKarolinenhofRauchfangswerder,0,0,21,5,6,128,4,25,9,38,2,2,30,2,1,46
111,2015,Neuklln,80206,Britz,54,27,429,107,176,2333,71,544,232,138,28,16,391,58,116,1051
112,2019,Neuklln,80105,KllnischeHeide,24,8,221,56,98,1187,48,291,46,41,23,12,208,15,85,600
113,2016,MarzahnHellersdorf,100102,MarzahnMitte,51,27,735,134,176,2113,147,417,160,30,56,12,577,85,78,1483
114,2013,Lichtenberg,119900,BezirkLbnichtzuzuordnen,4,3,64,24,6,209,6,8,7,0,1,0,169,123,6,83
115,2019,TreptowKpenick,90520,KpenickNord,3,3,79,24,30,265,15,53,61,36,13,5,91,19,16,178
116,2014,SteglitzZehlendorf,60408,ZehlendorfNord,21,11,145,27,83,2379,104,573,376,446,25,6,428,143,44,655
117,2015,Reinickendorf,122242,West2HeiligenseeKonradshhe,5,1,88,18,40,545,25,151,80,112,5,2,163,36,23,195
118,2012,CharlottenburgWilmersdorf,40413,WiesbadenerStrae,12,4,64,12,34,642,30,125,129,54,1,1,143,21,9,224
119,2015,Reinickendorf,122311,Nord1FrohnauHermsdorf,27,14,115,21,55,1016,36,325,183,191,5,3,190,27,30,306
120,2015,Lichtenberg,110409,NeuLichtenberg,25,16,263,51,63,1669,62,201,303,63,14,6,371,106,50,683
121,2016,Neuklln,80101,Schillerpromenade,67,38,563,189,151,2423,29,264,262,102,29,15,451,105,333,1424
122,2018,Spandau,50204,BrunsbttelerDamm,12,8,210,49,73,765,46,123,88,42,17,3,177,26,25,411
123,2013,CharlottenburgWilmersdorf,40203,Westend,31,10,192,46,116,2344,64,465,193,110,10,7,226,34,23,587
124,2013,FriedrichshainKreuzberg,20405,KarlMarxAlleeNord,31,18,214,63,66,1361,62,189,184,56,14,2,255,27,27,634
125,2012,Neuklln,80207,Buckow,26,7,206,58,107,634,24,225,45,62,11,3,281,63,14,499
126,2014,Lichtenberg,110103,NeuHohenschnhausenSd,31,22,324,65,78,962,63,106,114,23,9,3,184,27,48,634
127,2019,TreptowKpenick,90519,Dammvorstadt,19,14,206,60,46,756,21,72,154,11,8,3,161,36,65,373
128,2014,Reinickendorf,123021,MV1MrkischesViertel,61,34,551,135,214,1949,47,349,154,67,72,25,418,32,103,1480
129,2017,Pankow,30614,PrenzlauerBergOst,33,21,294,69,94,2063,69,357,302,76,31,14,473,224,53,664
130,2016,Pankow,30406,PankowZentrum,23,14,240,43,96,2104,49,210,522,106,15,7,309,111,36,715
131,2016,Lichtenberg,110307,AltLichtenberg,48,25,494,117,128,2763,92,355,326,95,28,15,399,96,56,1039
132,2015,Mitte,10112,Regierungsviertel,76,34,433,89,126,5399,15,289,371,48,10,4,304,101,48,810
133,2012,TreptowKpenick,90517,Friedrichshagen,9,2,64,11,28,516,16,89,172,28,5,1,144,29,6,173
134,2013,Spandau,50308,Siemensstadt,19,11,158,34,67,775,29,153,83,30,8,4,155,28,12,426
135,2013,Spandau,50102,FalkenhagenerFeld,52,21,445,85,150,1170,35,180,146,89,40,5,351,13,46,1135
136,2015,Pankow,30307,BlankenburgHeinersdorfMrchenland,8,1,96,25,38,783,15,125,127,62,5,3,94,9,6,188
137,2014,FriedrichshainKreuzberg,20508,FrankfurterAlleeSdFK,162,116,880,287,163,5162,71,358,849,143,44,19,1184,218,665,2099
138,2014,Pankow,39900,BezirkPknichtzuzuordnen,37,27,68,22,44,678,47,201,170,0,1,0,36,0,65,211
139,2018,Reinickendorf,122242,West2HeiligenseeKonradshhe,7,3,93,19,39,385,14,104,46,67,4,2,87,10,32,189
140,2019,Mitte,10222,MoabitOst,48,29,652,150,231,3672,27,240,350,96,39,16,555,96,555,1597
141,2017,FriedrichshainKreuzberg,20508,FrankfurterAlleeSdFK,74,47,902,353,186,3733,55,332,597,129,29,6,1017,371,949,2026
142,2018,Mitte,10331,OsloerStrae,77,42,752,205,250,2624,46,288,260,73,29,13,439,92,217,1397
143,2013,TempelhofSchneberg,70404,Tempelhof,88,35,659,155,299,3581,109,791,348,145,48,13,703,123,300,1647
144,2017,Pankow,30203,Buchholz,5,2,49,7,28,372,21,75,44,20,4,0,89,16,9,146
145,2016,Lichtenberg,110205,AltHohenschnhausenSd,26,21,203,40,59,1481,119,445,168,86,14,4,265,46,26,558
146,2013,TreptowKpenick,90519,Dammvorstadt,10,4,139,28,37,807,16,66,163,10,20,12,150,12,51,322
147,2012,CharlottenburgWilmersdorf,40515,Barstrae,19,10,110,33,43,774,23,160,142,44,6,3,151,29,14,302
148,2013,SteglitzZehlendorf,60203,Lankwitz,34,14,311,60,138,1315,61,317,122,137,24,6,364,70,88,784
149,2015,TreptowKpenick,90104,Johannisthal,11,4,96,18,43,596,29,99,73,61,11,7,102,15,19,252
150,2017,FriedrichshainKreuzberg,20303,nrdlicheLuisenstadt,78,54,511,183,114,2632,22,232,294,42,22,2,403,121,683,963
151,2013,Pankow,30101,Buch,12,5,119,20,66,858,21,180,143,29,18,9,210,55,33,308
152,2012,MarzahnHellersdorf,100409,Mahlsdorf,6,4,89,20,49,607,20,117,89,97,4,2,268,87,23,250
153,2012,Mitte,10112,Regierungsviertel,65,29,474,123,142,3203,10,307,170,37,10,4,380,124,98,870
154,2016,Neuklln,80104,Rixdorf,68,38,483,150,157,2506,56,338,408,132,33,19,495,70,141,1443
155,2018,Pankow,30405,SchnholzWilhelmsruhRosenthal,10,6,77,20,30,450,20,114,50,48,11,3,98,15,14,169
156,2013,MarzahnHellersdorf,100408,Kaulsdorf,9,4,71,13,41,504,16,168,86,82,6,3,122,26,7,178
157,2017,Spandau,50206,Wilhelmstadt,42,21,644,176,179,2950,33,233,279,89,17,8,484,72,79,1196
158,2013,Neuklln,80410,Rudow,32,19,230,69,104,1344,111,441,144,153,10,3,288,23,16,570
159,2014,TreptowKpenick,90520,KpenickNord,3,2,45,11,29,342,25,93,76,25,1,1,99,29,13,145
160,2015,TempelhofSchneberg,70606,Marienfelde,17,9,220,45,94,1126,29,186,117,90,18,5,245,22,42,534
161,2014,CharlottenburgWilmersdorf,40411,Grunewald,13,8,82,21,51,931,63,300,56,244,7,3,124,15,16,434
162,2012,Lichtenberg,110308,FrankfurterAlleeSd,19,6,67,18,16,578,24,96,111,25,6,2,105,12,52,200
163,2019,Pankow,30611,PrenzlauerBergNordwest,36,25,252,65,70,1391,42,94,380,38,15,2,294,90,154,621
164,2012,CharlottenburgWilmersdorf,40202,Heerstrasse,21,9,213,93,36,579,37,155,58,51,7,2,141,36,31,353
165,2015,TreptowKpenick,90520,KpenickNord,3,0,43,8,29,347,13,60,97,41,4,1,108,14,2,172
